id,name,category,description,target_gender,health_goal,age_range,weight_range
1,Vitamin C Plus,Vitamin,"chronic fatigue, physical weakness, frequent flu, frequent winter sickness, weak immune system, low resistance, dull skin, work stress, severe vitamin C deficiency, slow wound healing, bleeding gums",All,"Boost immunity, Beautify skin, Antioxidant, Reduce stress",18-65,45-90
2,Omega-3 Fish Oil 1000mg,Omega-3,"fast heartbeat, palpitations, high cholesterol, high triglycerides, knee osteoarthritis, dry eyes, flaky skin, poor memory, forgetfulness, poor concentration, high blood pressure, atherosclerosis, mild chest pain",Adult,"Healthy heart, Clear mind, Natural anti-inflammatory, Smooth skin",30-70,50-100
3,Magnesium Glycinate 400mg,Mineral,"neck and shoulder muscle tension, night cramps, chronic insomnia, unexplained anxiety, palpitations, irregular heartbeat, chronic constipation, migraine, severe premenstrual syndrome, severe magnesium deficiency",Adult,"Nerve relaxation, Deep sleep, Reduce cramps, Support digestion",20-60,40-85
4,Probiotic 50 Billion CFU,Probiotic,"poor digestion, bloating after meals, heartburn, alternating constipation and diarrhea, weak immune system, intestinal infection, dysbiosis due to antibiotics, irritable bowel syndrome, food allergy",All,"Balance microflora, Enhance digestion, Boost immunity, Reduce allergies",12-75,35-95
5,Collagen Peptides Type 1&3,Collagen,"wrinkled skin, sagging around eyes, thin and falling hair, weak brittle nails, knee joint pain, weak bones osteoporosis, inelastic ligaments, slow-healing keloids, thigh cellulite",Adult,"Beautify skin, Strong bones, Shiny hair and nails, Reduce joint pain",25-65,45-80
6,Ashwagandha KSM-66,Herbal,"work stress, social anxiety, chronic fatigue, neurasthenia, memory loss, post-COVID stress, poor adaptation to pressure, high cortisol, low libido, poor sleep quality",Adult,"Reduce stress, Boost energy, Improve memory, Increase libido",20-55,45-85
7,Melatonin 5mg Fast Release,Hormone,"difficulty falling asleep, shallow sleep, waking up midnight, sleep disorders, post-flight jet lag, night shift work, late-night studying, messy biological clock",Adult,"Improve sleep, Regulate circadian rhythm, Natural deep sleep",18-70,40-90
8,Vitamin D3 5000IU + K2,Vitamin,"weak bones back pain, muscle aches, weak immunity frequent sickness, seasonal depression, severe vitamin D deficiency, postmenopausal osteoporosis, heavy hair loss, brittle nails",All,"Strong bones, Boost immunity, Improve mood, Reduce hair loss",18-80,40-100
9,Zinc Picolinate 50mg,Mineral,"weak immunity flu, slow wound healing, hair loss baldness, white spots on nails, poor taste, severe acne, prolonged diarrhea, zinc deficiency in children",All,"Boost immunity, Beautify skin and hair, Improve taste, Antioxidant",12-65,30-85
10,Curcumin Phytosome 500mg,Anti-inflammatory,"knee joint pain, bone and joint pain, alcoholic hepatitis, HP stomach ulcer, post-surgery anti-inflammatory, gym muscle pain, enteritis, acid reflux",Adult,"Strong anti-inflammatory, Protect liver, Reduce joint pain, Antioxidant",25-75,45-95
11,CoQ10 200mg Ubiquinol,Antioxidant,"heart failure fatigue, hard-to-control high blood pressure, statin-induced muscle pain, lack of energy, premature aging, unexplained chest pain, hereditary high cholesterol",Adult,"Healthy heart, Boost energy, Anti-aging, Reduce muscle pain",35-80,50-100
